7f213bbcbe00acbafdab0c23637111ca903774156c00daada056a3f6b7a3bf71,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,84.06663060188293
ac6ffbe869db238ff7a4827930211c86f4cb6809236238972640e24cc9f687f5,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,89.38342571258545
48055458d997b122ea2649c85855536a843a0f6cac0ec1b7e68f2aa5219a7599,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,80.56823921203613
462666416d80266dc01bbb461ba1bb9d6294798599c0b25ca890ded1ac053f11,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,82.13311791419983
75ad32d8db3279d20c842175f12cf3f51abdfdddc34f4f9b60b7684622380e42,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,86.93770837783813
12e6993fc46f15adee10bf10b62ac3e23b0eac18afea25954bfff32e5626560c,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,84.871098279953
128d5947959df40c39e60b3710864e103ca06dbfc5a7c2421a3fae49646cb83e,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,88.43184232711792
c2d48c526674a015949c0b9ba3edaeeeb103849c15a9ff8f9c2639faf554f6b9,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,85.0934009552002
a89a613baafa59d8af4ff7cb2486da936a796107c92ce5fa1c7f26e12c0a64de,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN product as prod
ON prod.id = ord_det.product_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,83.99024438858032
7f16c4f1bdfea68f84efae91064c76a04f8efbfd3b3ca70cc4da52978eb5552b,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,82.57540607452393
4c822d820919ca58f6e85b613b147b9daaeb3c9547917ec3207cdf7186261025,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,89.98728084564209
5299275d7ea1e064b593ba950dfba87a0dbfe82d5021a870a921c8356ba63464,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,83.74025130271912
9288baae375bfa6c12906f08663617ff6bc3075e2da7222ef601c5559520e7f7,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,81.45906567573547
f0716b66103cad70aaa7528b72c722760cf420fa705e386ff0851297ad397f13,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM order_details as ord_det
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,81.93943691253662
508e8c66031faba7c0bb6681776683236c7886e0224e1237356a943f1905e1e5,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM product as prod
JOIN order_details as ord_det
ON ord_det.product_id = prod.id
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN discount as dis
ON dis.id = ord.discount_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,82.12450742721558
15e37606e721fdf18fa00d98acc56ac4bbf7a308d108bdcb97002b6f74b7e067,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM product as prod
JOIN order_details as ord_det
ON ord_det.product_id = prod.id
JOIN ""order"" as ord
ON ord.id = ord_det.order_id
JOIN discount as dis
ON dis.id = ord.discount_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'discount', 'order', 'order_details', 'product')",1.0,5,81.10697650909424
60430993adcdefa38d2a3c4a23c2e888e6433b8074c200dd8547047a0818f16e,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM customer as cus
JOIN ""order"" as ord
ON ord.customer_id = cus.id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,118.72360587120056
ec92ed16af2afcf42d10646904af32b0e35e6c6759c58f6e68b1e45e5e2b264a,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM customer as cus
JOIN ""order"" as ord
ON ord.customer_id = cus.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,79.94825005531311
ab02f21028140ac125f45888bf9cd382c7e3babf5b3c12a0d2f79e83ff7637f7,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM customer as cus
JOIN ""order"" as ord
ON ord.customer_id = cus.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,82.66082692146301
d4be59d9606506923501e3eefd83d6b66ae121251c8e0214a782eaa29f63653f,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM customer as cus
JOIN ""order"" as ord
ON ord.customer_id = cus.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id
JOIN deliverer as del
ON del.id = ord.deliverer_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,83.4007887840271
a5d56a9463909f2d70fa2523a8514247511cf081fdbd6f0da68df359c113a799,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM deliverer as del
JOIN ""order"" as ord
ON ord.deliverer_id = del.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,117.80309581756592
7a3d577e8596a34ae1bc44ea2ee07cd466515c90a4a99eba362af9cfbf1a2e42,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM deliverer as del
JOIN ""order"" as ord
ON ord.deliverer_id = del.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,139.0571973323822
39ec6cf6f4485e92ee6f69de76727de314a452b6faa77869965c1c76da81a5c0,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM deliverer as del
JOIN ""order"" as ord
ON ord.deliverer_id = del.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,138.99928450584412
f76c018b339decc4c967791989fbacde439fe8a59e4622a22baf376d652f1e55,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM deliverer as del
JOIN ""order"" as ord
ON ord.deliverer_id = del.id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,138.12342023849487
6cb2e9b4b8d5ae7d27c93df65135e7bdebc8fa8b7bb0e9d7c509b0bce69269ad,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,116.92896723747253
71032ada66358ccebd7581e11b82b19dca7578d3f57e9c89b87391ab000cad6f,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,77.78088808059692
81d7fdcda82899aa2dd137ed23ae8fe3b7c02edb7ca9ed696efbb3628298649e,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,81.4503846168518
e37a0837b3d3a02af35b4913ca5406ca57d13166696a345c3799c474db83de49,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id
JOIN deliverer as del
ON del.id = ord.deliverer_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,81.66994404792786
840be00560a12c38e273629497285286481bee5527e8465b506d1187ea9c97c7,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,119.42929100990295
b38fa53efeba3a4f6bda8dff1fc5963a70a37fec259c2674a4f59a91cfa0675e,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,132.53899574279785
a51692287eb31d56d57764bf62be410776cf1ba7a6632bc5d7f80be0cc6d6b9e,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,138.8034703731537
eb5752e97e3d17c23496bb317fa0b1f3e8e14df602d7a3e1e706a35a7ddfcf3b,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id
JOIN customer as cus
ON cus.id = ord.customer_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,139.40634965896606
e4595abd3c5383922e8d86dfbca1d09e83e3c6255283f195a5cb3e64494d98d0,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,94.33105707168579
9f0b443ab528ffe444fc7775fefbbbb1dcfb3af7ef34555c8b270a3dc5f1e224,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN deliverer as del
ON del.id = ord.deliverer_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,94.25524401664734
adb94dcf16a8d4c523ace321550531197a52dc0928746df191916c172def5582,"BEGIN;
SET LOCAL join_collapse_limit = 1;
SELECT count(*) FROM ""order"" as ord
JOIN order_details as ord_det
ON ord_det.order_id = ord.id
JOIN customer as cus
ON cus.id = ord.customer_id
JOIN product as prod
ON prod.id = ord_det.product_id
JOIN subcategory as sub
ON sub.id = prod.subcategory_id
JOIN deliverer as del
ON del.id = ord.deliverer_id;
COMMIT;","('customer', 'deliverer', 'order', 'order_details', 'product', 'subcategory')",1.0,6,94.9920711517334
